date,T익스프레스,사파리월드,로스트밸리,isPartial
2018-12-09,0,0,20,False
2018-12-16,0,0,0,False
2018-12-23,30,0,0,False
2018-12-30,0,0,0,False
2019-01-06,0,0,0,False
2019-01-13,0,0,31,False
2019-01-20,0,0,0,False
2019-01-27,44,0,39,False
2019-02-03,0,0,0,False
2019-02-10,0,0,0,False
2019-02-17,22,0,0,False
2019-02-24,30,0,0,False
2019-03-03,0,0,0,False
2019-03-10,0,0,0,False
2019-03-17,17,0,0,False
2019-03-24,0,0,0,False
2019-03-31,0,0,26,False
2019-04-07,0,0,23,False
2019-04-14,0,0,65,False
2019-04-21,0,0,19,False
2019-04-28,30,0,0,False
2019-05-05,20,0,0,False
2019-05-12,0,0,0,False
2019-05-19,36,0,22,False
2019-05-26,0,0,38,False
2019-06-02,32,0,39,False
2019-06-09,19,0,0,False
2019-06-16,26,0,0,False
2019-06-23,0,0,16,False
2019-06-30,0,0,28,False
2019-07-07,0,0,0,False
2019-07-14,0,0,0,False
2019-07-21,36,0,0,False
2019-07-28,20,0,36,False
2019-08-04,38,0,0,False
2019-08-11,0,0,29,False
2019-08-18,46,0,0,False
2019-08-25,0,0,23,False
2019-09-01,0,0,14,False
2019-09-08,0,0,0,False
2019-09-15,62,0,18,False
2019-09-22,0,0,0,False
2019-09-29,0,0,0,False
2019-10-06,0,0,0,False
2019-10-13,0,0,0,False
2019-10-20,0,0,0,False
2019-10-27,0,0,15,False
2019-11-03,28,0,71,False
2019-11-10,0,0,0,False
2019-11-17,16,0,0,False
2019-11-24,0,0,0,False
2019-12-01,81,0,0,False
2019-12-08,28,0,0,False
2019-12-15,67,0,0,False
2019-12-22,0,0,0,False
2019-12-29,15,0,0,False
2020-01-05,0,0,0,False
2020-01-12,31,0,0,False
2020-01-19,0,0,34,False
2020-01-26,0,0,0,False
2020-02-02,0,0,0,False
2020-02-09,32,0,18,False
2020-02-16,0,0,0,False
2020-02-23,0,0,0,False
2020-03-01,0,0,11,False
2020-03-08,0,0,11,False
2020-03-15,21,0,0,False
2020-03-22,0,0,0,False
2020-03-29,12,0,0,False
2020-04-05,26,0,13,False
2020-04-12,0,0,0,False
2020-04-19,0,0,0,False
2020-04-26,0,0,0,False
2020-05-03,17,0,0,False
2020-05-10,0,0,0,False
2020-05-17,17,0,18,False
2020-05-24,0,0,0,False
2020-05-31,45,0,28,False
2020-06-07,0,0,0,False
2020-06-14,65,0,0,False
2020-06-21,13,0,23,False
2020-06-28,12,0,0,False
2020-07-05,0,0,0,False
2020-07-12,21,0,12,False
2020-07-19,0,0,0,False
2020-07-26,0,0,0,False
2020-08-02,0,0,0,False
2020-08-09,0,0,0,False
2020-08-16,0,0,0,False
2020-08-23,0,0,0,False
2020-08-30,0,0,0,False
2020-09-06,22,0,29,False
2020-09-13,0,0,0,False
2020-09-20,0,0,33,False
2020-09-27,0,0,12,False
2020-10-04,0,0,0,False
2020-10-11,11,0,0,False
2020-10-18,0,0,0,False
2020-10-25,18,0,18,False
2020-11-01,0,0,0,False
2020-11-08,0,0,13,False
2020-11-15,13,0,31,False
2020-11-22,0,0,0,False
2020-11-29,0,0,18,False
2020-12-06,0,0,0,False
2020-12-13,0,0,0,False
2020-12-20,12,0,0,False
2020-12-27,0,0,21,False
2021-01-03,37,0,0,False
2021-01-10,0,0,0,False
2021-01-17,0,0,0,False
2021-01-24,11,0,23,False
2021-01-31,0,0,0,False
2021-02-07,0,0,31,False
2021-02-14,0,0,0,False
2021-02-21,0,0,13,False
2021-02-28,0,0,0,False
2021-03-07,0,0,0,False
2021-03-14,0,0,17,False
2021-03-21,0,0,10,False
2021-03-28,0,0,0,False
2021-04-04,0,0,0,False
2021-04-11,0,0,0,False
2021-04-18,0,0,0,False
2021-04-25,11,0,23,False
2021-05-02,12,0,25,False
2021-05-09,15,0,11,False
2021-05-16,14,0,0,False
2021-05-23,14,0,0,False
2021-05-30,12,0,0,False
2021-06-06,14,0,21,False
2021-06-13,13,0,17,False
2021-06-20,0,0,0,False
2021-06-27,11,0,0,False
2021-07-04,57,0,0,False
2021-07-11,0,0,0,False
2021-07-18,0,0,0,False
2021-07-25,0,0,17,False
2021-08-01,0,0,0,False
2021-08-08,0,0,0,False
2021-08-15,0,0,0,False
2021-08-22,15,0,0,False
2021-08-29,0,0,0,False
2021-09-05,37,0,0,False
2021-09-12,45,0,0,False
2021-09-19,16,0,0,False
2021-09-26,26,0,48,False
2021-10-03,14,0,0,False
2021-10-10,0,0,27,False
2021-10-17,12,0,25,False
2021-10-24,18,0,0,False
2021-10-31,28,0,13,False
2021-11-07,0,0,0,False
2021-11-14,20,0,0,False
2021-11-21,20,0,0,False
2021-11-28,15,0,0,False
2021-12-05,28,0,0,False
2021-12-12,0,0,0,False
2021-12-19,17,0,0,False
2021-12-26,0,0,0,False
2022-01-02,0,0,0,False
2022-01-09,18,0,42,False
2022-01-16,0,0,0,False
2022-01-23,0,0,14,False
2022-01-30,19,0,0,False
2022-02-06,0,0,14,False
2022-02-13,0,0,0,False
2022-02-20,16,0,0,False
2022-02-27,0,0,0,False
2022-03-06,0,0,15,False
2022-03-13,0,0,0,False
2022-03-20,0,0,0,False
2022-03-27,0,0,11,False
2022-04-03,11,0,22,False
2022-04-10,44,0,40,False
2022-04-17,19,0,25,False
2022-04-24,17,0,27,False
2022-05-01,37,0,0,False
2022-05-08,0,0,0,False
2022-05-15,31,0,19,False
2022-05-22,43,0,26,False
2022-05-29,39,0,25,False
2022-06-05,0,0,40,False
2022-06-12,18,0,12,False
2022-06-19,21,0,0,False
2022-06-26,11,0,0,False
2022-07-03,11,0,17,False
2022-07-10,15,0,0,False
2022-07-17,24,0,17,False
2022-07-24,30,0,31,False
2022-07-31,19,0,21,False
2022-08-07,38,0,0,False
2022-08-14,21,0,19,False
2022-08-21,16,0,35,False
2022-08-28,36,0,0,False
2022-09-04,79,0,0,False
2022-09-11,77,0,15,False
2022-09-18,100,0,0,False
2022-09-25,69,0,0,False
2022-10-02,70,0,26,False
2022-10-09,57,0,20,False
2022-10-16,64,0,0,False
2022-10-23,41,0,58,False
2022-10-30,37,0,0,False
2022-11-06,95,0,11,False
2022-11-13,19,0,0,False
2022-11-20,11,0,0,False
2022-11-27,0,0,0,False
2022-12-04,10,0,0,False
2022-12-11,0,0,14,False
2022-12-18,0,0,0,False
2022-12-25,20,0,14,False
2023-01-01,0,0,13,False
2023-01-08,0,0,0,False
2023-01-15,0,0,0,False
2023-01-22,0,0,0,False
2023-01-29,0,0,0,False
2023-02-05,11,0,0,False
2023-02-12,10,0,13,False
2023-02-19,36,0,21,False
2023-02-26,0,0,25,False
2023-03-05,19,0,9,False
2023-03-12,36,0,11,False
2023-03-19,28,0,40,False
2023-03-26,0,0,11,False
2023-04-02,22,0,0,False
2023-04-09,30,0,11,False
2023-04-16,38,0,16,False
2023-04-23,11,0,24,False
2023-04-30,27,0,15,False
2023-05-07,37,0,22,False
2023-05-14,34,0,33,False
2023-05-21,12,0,0,False
2023-05-28,20,0,0,False
2023-06-04,15,0,0,False
2023-06-11,35,0,0,False
2023-06-18,17,0,0,False
2023-06-25,31,0,8,False
2023-07-02,20,0,10,False
2023-07-09,24,0,8,False
2023-07-16,10,0,0,False
2023-07-23,19,0,0,False
2023-07-30,10,0,34,False
2023-08-06,21,0,29,False
2023-08-13,13,0,22,False
2023-08-20,8,0,0,False
2023-08-27,21,0,21,False
2023-09-03,60,0,0,False
2023-09-10,88,0,0,False
2023-09-17,49,0,20,False
2023-09-24,40,0,0,False
2023-10-01,20,0,0,False
2023-10-08,67,0,0,False
2023-10-15,51,0,15,False
2023-10-22,14,0,17,False
2023-10-29,45,0,9,False
2023-11-05,20,0,10,False
2023-11-12,28,0,12,False
2023-11-19,26,0,9,False
2023-11-26,25,0,0,True
